LCNS_NO,BSSH_NM,CHNG_DT,CHNG_PRVNS,INDUTY_CD_NM,SITE_ADDR,CHNG_BF_CN,CHNG_AF_CN,TELNO,DB_EXISTS,DB_LAST_EVENT_DATE,IS_MISSED,MISSED_REASON
20140292495,(주)노걸대,20160927,변경민원,일반음식점,"경기도 안양시 동안구 동편로27번길 7(101호 관양동, 센타빌딩)",권**,권**,0314218601,Y,20240215,N,NONE
20230148333,(주)다미정,20240213,변경민원,일반음식점,서울특별시 송파구 양재대로 932(가락동 농수산물도매시장 가락몰 3관 3층 004-1호 가락동),다미정,(주)다미정,,Y,20241120,N,NONE
20230148333,(주)다미정,20240213,변경민원,일반음식점,서울특별시 송파구 양재대로 932(가락동 농수산물도매시장 가락몰 3관 3층 004-1호 가락동),강**,강**,,Y,20241120,N,NONE
20230148319,(주)다미정,20240213,변경민원,일반음식점,서울특별시 송파구 양재대로 932(가락동 농수산물도매시장 3층 003-1호 가락동),다미정,(주)다미정,,Y,20241120,N,NONE
20230148319,(주)다미정,20240213,변경민원,일반음식점,서울특별시 송파구 양재대로 932(가락동 농수산물도매시장 3층 003-1호 가락동),강**,강**,,Y,20241120,N,NONE
20150105472,(주)까폼,20240207,변경민원,일반음식점,서울특별시 강남구 선릉로153길 18(지하1층 신사동),까폼,(주)까폼,,Y,20240207,N,NONE
20150105472,(주)까폼,20240207,변경민원,일반음식점,서울특별시 강남구 선릉로153길 18(지하1층 신사동),이**,이**,,Y,20240207,N,NONE
20150105472,(주)까폼,20170308,변경민원,일반음식점,서울특별시 강남구 선릉로153길 18(지하1층 신사동),정**,이**,,Y,20240207,N,NONE
20230498675,(주)광교산,20240131,변경민원,일반음식점,경기도 용인시 수지구 신봉2로 180-6(가동 1층 나동 1층 일부호 신봉동),현우,(주)광교산,,Y,20260119,N,NONE
20230498675,(주)광교산,20240131,변경민원,일반음식점,경기도 용인시 수지구 신봉2로 180-6(가동 1층 나동 1층 일부호 신봉동),한**,길**,,Y,20260119,N,NONE
20230498675,(주)광교산,20231228,변경민원,일반음식점,경기도 용인시 수지구 신봉2로 180-6(가동 1층 나동 1층 일부호 신봉동),길**,한**,,Y,20260119,N,NONE
20080372205,(주)깡돈 내촌점,20240129,변경민원,일반음식점,경기도 포천시 내촌면 내촌로 32,깡돈,(주)깡돈 내촌점,0315341005,Y,20240129,N,NONE
20080372205,(주)깡돈 내촌점,20240129,변경민원,일반음식점,경기도 포천시 내촌면 내촌로 32,손**,공**,0315341005,Y,20240129,N,NONE
20080372205,(주)깡돈 내촌점,20230721,변경민원,일반음식점,경기도 포천시 내촌면 내촌로 32,이**,손**,0315341005,Y,20240129,N,NONE
20020327030,(신)산동반점,20240125,변경민원,일반음식점,"경기도 고양시 일산서구 일산로741번길 5-15(대화동,번지 1층)",산동반점,(신)산동반점,0319129966,Y,20240125,N,NONE
20020327030,(신)산동반점,20240125,변경민원,일반음식점,"경기도 고양시 일산서구 일산로741번길 5-15(대화동,번지 1층)",한**,이**,0319129966,Y,20240125,N,NONE
20020327030,(신)산동반점,20210126,변경민원,일반음식점,"경기도 고양시 일산서구 일산로741번길 5-15(대화동,번지 1층)",구**,한**,0319129966,Y,20240125,N,NONE
20230137218,(주)금은보화 차셰프 고기덮밥,20240125,변경민원,일반음식점,서울특별시 강남구 테헤란로 124(삼원타워 지하1층 B125호 역삼동),스테이크 앤밥,(주)금은보화 차셰프 고기덮밥,,Y,20240125,N,NONE
20230137218,(주)금은보화 차셰프 고기덮밥,20240125,변경민원,일반음식점,서울특별시 강남구 테헤란로 124(삼원타워 지하1층 B125호 역삼동),차**,차**,,Y,20240125,N,NONE
20020386196,(주)나이스디앤에스 강릉(강릉방향)휴게소 한식,20240122,변경민원,일반음식점,강원특별자치도 강릉시 성산면 영동고속도로 232,김**,조**,0336488850,Y,20260122,N,NONE
20020386196,(주)나이스디앤에스 강릉(강릉방향)휴게소 한식,20220207,변경민원,일반음식점,강원특별자치도 강릉시 성산면 영동고속도로 232,조**,김**,0336488850,Y,20260122,N,NONE
20200510159,(유)바다김밥,20240122,변경민원,일반음식점,전라남도 여수시 통제영5길 10-4(중앙동),바다김밥,(유)바다김밥,,Y,20240122,N,NONE
20200510159,(유)바다김밥,20240122,변경민원,일반음식점,전라남도 여수시 통제영5길 10-4(중앙동),김**,김**,,Y,20240122,N,NONE
20020386188,"(주)나이스디앤에스 강릉(인천방향)휴게소 샘밭막국수,우동,라면",20240119,변경민원,일반음식점,강원특별자치도 강릉시 성산면 영동고속도로 231,김**,조**,0336479970,Y,20260122,N,NONE
20020386188,"(주)나이스디앤에스 강릉(인천방향)휴게소 샘밭막국수,우동,라면",20220207,변경민원,일반음식점,강원특별자치도 강릉시 성산면 영동고속도로 231,조**,김**,0336479970,Y,20260122,N,NONE
